volume,date,MW_Prediction
838629.0,2019-01-02,781942.0
892604.0,2019-01-03,818234.06
894569.0,2019-01-04,818234.06
822021.0,2019-01-05,751852.56
783356.0,2019-01-06,749857.5
813761.0,2019-01-07,818234.06
823787.0,2019-01-08,818234.06
890875.0,2019-01-09,818234.06
915877.0,2019-01-10,818234.06
877131.0,2019-01-11,818234.06
728887.0,2019-01-12,751852.56
682736.0,2019-01-13,749857.5
845225.0,2019-01-14,818234.06
829752.0,2019-01-15,818234.06
837968.0,2019-01-16,818234.06
867750.0,2019-01-17,818234.06
908428.0,2019-01-18,818234.06
840763.0,2019-01-19,751852.56
822399.0,2019-01-20,749857.5
904580.0,2019-01-21,818234.06
917159.0,2019-01-22,818234.06
934713.0,2019-01-23,818234.06
943812.0,2019-01-24,818234.06
851430.0,2019-01-25,818234.06
740518.0,2019-01-26,751852.56
714756.0,2019-01-27,745514.6
871804.0,2019-01-28,818234.06
931776.0,2019-01-29,818234.06
935731.0,2019-01-30,818234.06
959557.0,2019-01-31,818234.06
931261.0,2019-02-01,818234.06
825479.0,2019-02-02,751852.56
804104.0,2019-02-03,749857.5
869891.0,2019-02-04,818234.06
904125.0,2019-02-05,818234.06
862681.0,2019-02-06,818234.06
838587.0,2019-02-07,818234.06
798655.0,2019-02-08,818234.06
708219.0,2019-02-09,751852.56
757421.0,2019-02-10,749857.5
859439.0,2019-02-11,818234.06
852335.0,2019-02-12,818234.06
814408.0,2019-02-13,818234.06
811257.0,2019-02-14,818234.06
787447.0,2019-02-15,814952.0
713121.0,2019-02-16,739422.25
657296.0,2019-02-17,735735.6
779560.0,2019-02-18,811492.94
801793.0,2019-02-19,811492.94
777631.0,2019-02-20,811492.94
772433.0,2019-02-21,811492.94
758493.0,2019-02-22,811492.94
678244.0,2019-02-23,739422.25
683026.0,2019-02-24,735735.6
771725.0,2019-02-25,811492.94
772140.0,2019-02-26,811492.94
771547.0,2019-02-27,811492.94
820602.0,2019-02-28,811492.94
809586.0,2019-03-01,811492.94
663292.0,2019-03-02,739422.25
666315.0,2019-03-03,735735.6
754645.0,2019-03-04,806486.56
790637.0,2019-03-05,806486.56
791930.0,2019-03-06,806486.56
769817.0,2019-03-07,800107.3
791921.0,2019-03-08,794416.06
662273.0,2019-03-09,710750.3
677682.0,2019-03-10,707063.7
751022.0,2019-03-11,764215.0
789824.0,2019-03-12,764215.0
754479.0,2019-03-13,764215.0
740158.0,2019-03-14,764215.0
727293.0,2019-03-15,764215.0
692601.0,2019-03-16,686878.2
651473.0,2019-03-17,683191.56
808332.0,2019-03-18,764215.0
799511.0,2019-03-19,764215.0
770289.0,2019-03-20,764215.0
771503.0,2019-03-21,764215.0
743524.0,2019-03-22,764215.0
681080.0,2019-03-23,686878.2
609917.0,2019-03-24,683191.56
720836.0,2019-03-25,744217.0
760175.0,2019-03-26,744217.0
772059.0,2019-03-27,744217.0
740703.0,2019-03-28,728320.6
709054.0,2019-03-29,693979.4
652732.0,2019-03-30,622666.75
614179.0,2019-03-31,618980.1
726959.0,2019-04-01,693979.4
790556.0,2019-04-02,693979.4
791353.0,2019-04-03,693979.4
791581.0,2019-04-04,693979.4
739494.0,2019-04-05,683221.0
683057.0,2019-04-06,611578.7
663842.0,2019-04-07,607892.06
733644.0,2019-04-08,681981.4
748018.0,2019-04-09,681981.4
731431.0,2019-04-10,681981.4
746924.0,2019-04-11,681981.4
752212.0,2019-04-12,681981.4
647419.0,2019-04-13,603012.44
649624.0,2019-04-14,599325.8
687331.0,2019-04-15,658789.56
747248.0,2019-04-16,658789.56
703601.0,2019-04-17,658789.56
668221.0,2019-04-18,658789.56
596003.0,2019-04-19,658789.56
565194.0,2019-04-20,588622.2
516085.0,2019-04-21,584935.56
548974.0,2019-04-22,658789.56
644274.0,2019-04-23,658789.56
675115.0,2019-04-24,658789.56
678131.0,2019-04-25,658789.56
657399.0,2019-04-26,658789.56
597014.0,2019-04-27,588622.2
620272.0,2019-04-28,584935.56
714090.0,2019-04-29,658789.56
704168.0,2019-04-30,658789.56
720289.0,2019-05-01,642153.4
705575.0,2019-05-02,642153.4
718643.0,2019-05-03,638156.4
580057.0,2019-05-04,566664.2
609136.0,2019-05-05,558872.7
646325.0,2019-05-06,630829.25
714039.0,2019-05-07,630829.25
720053.0,2019-05-08,630829.25
728681.0,2019-05-09,630829.25
718616.0,2019-05-10,630829.25
621968.0,2019-05-11,562559.3
581989.0,2019-05-12,558872.7
645401.0,2019-05-13,630829.25
642633.0,2019-05-14,630829.25
650471.0,2019-05-15,630829.25
639883.0,2019-05-16,630829.25
677862.0,2019-05-17,630829.25
617901.0,2019-05-18,562559.3
594441.0,2019-05-19,558872.7
661982.0,2019-05-20,630829.25
642717.0,2019-05-21,630829.25
641604.0,2019-05-22,630829.25
627781.0,2019-05-23,630829.25
624474.0,2019-05-24,630829.25
558954.0,2019-05-25,562559.3
514458.0,2019-05-26,558872.7
543032.0,2019-05-27,630829.25
640378.0,2019-05-28,630829.25
671673.0,2019-05-29,630829.25
615731.0,2019-05-30,630829.25
610856.0,2019-05-31,630829.25
551834.0,2019-06-01,562559.3
517714.0,2019-06-02,558872.7
586956.0,2019-06-03,630829.25
677597.0,2019-06-04,630829.25
648003.0,2019-06-05,630829.25
627368.0,2019-06-06,630829.25
