date,time,frequency
2021-08-27,05:23:45,49.954
2021-08-27,05:24:00,49.941
2021-08-27,05:24:15,49.947
2021-08-27,05:24:30,49.97
2021-08-27,05:24:45,49.964
2021-08-27,05:25:00,49.966
2021-08-27,05:25:15,49.968
2021-08-27,05:25:30,49.978
2021-08-27,05:25:45,49.966
2021-08-27,05:26:00,49.984
2021-08-27,05:26:15,49.964
2021-08-27,05:26:30,49.956
2021-08-27,05:26:45,49.977
2021-08-27,05:27:00,49.977
2021-08-27,05:27:15,49.991
2021-08-27,05:27:30,49.971
2021-08-27,05:27:45,49.991
2021-08-27,05:28:00,49.98
2021-08-27,05:28:15,49.963
2021-08-27,05:28:30,49.961
2021-08-27,05:28:45,49.979
2021-08-27,05:29:00,49.993
2021-08-27,05:29:15,49.98
2021-08-27,05:29:30,49.992
2021-08-27,05:29:45,50.017
2021-08-27,05:30:00,50.013
2021-08-27,05:30:15,49.996
2021-08-27,05:30:30,50.007
2021-08-27,05:30:45,50.012
2021-08-27,05:31:00,49.967
2021-08-27,05:31:15,49.952
2021-08-27,05:31:30,49.966
2021-08-27,05:31:45,49.983
2021-08-27,05:32:00,49.971
2021-08-27,05:32:15,49.979
2021-08-27,05:32:30,49.967
2021-08-27,05:32:45,49.996
2021-08-27,05:33:00,49.978
2021-08-27,05:33:15,50.007
2021-08-27,05:33:30,50.006
2021-08-27,05:33:45,50.031
2021-08-27,05:34:00,50.014
2021-08-27,05:34:15,50.008
2021-08-27,05:34:30,50.012
2021-08-27,05:34:45,50.023
2021-08-27,05:35:00,50.019
2021-08-27,05:35:15,49.985
2021-08-27,05:35:30,49.977
2021-08-27,05:35:45,49.978
2021-08-27,05:36:00,49.98
2021-08-27,05:36:15,49.947
2021-08-27,05:36:30,49.963
2021-08-27,05:36:45,49.99
2021-08-27,05:37:00,49.98
2021-08-27,05:37:15,49.971
2021-08-27,05:37:30,49.995
2021-08-27,05:37:45,50.001
2021-08-27,05:38:00,49.997
2021-08-27,05:38:15,49.987
2021-08-27,05:38:30,49.989
2021-08-27,05:38:45,49.979
2021-08-27,05:39:00,49.964
2021-08-27,05:39:15,49.957
2021-08-27,05:39:30,49.95
2021-08-27,05:39:45,49.97
2021-08-27,05:40:00,49.944
2021-08-27,05:40:15,49.942
2021-08-27,05:40:30,49.953
2021-08-27,05:40:45,49.969
2021-08-27,05:41:00,49.941
2021-08-27,05:41:15,49.928
2021-08-27,05:41:30,49.962
2021-08-27,05:41:45,49.965
2021-08-27,05:42:00,49.989
2021-08-27,05:42:15,49.961
2021-08-27,05:42:30,49.978
2021-08-27,05:42:45,49.989
2021-08-27,05:43:00,49.979
2021-08-27,05:43:15,49.983
2021-08-27,05:43:30,49.957
2021-08-27,05:43:45,49.975
2021-08-27,05:44:00,49.986
2021-08-27,05:44:15,49.99
2021-08-27,05:44:30,50.031
2021-08-27,05:44:45,50.036
2021-08-27,05:45:00,50.018
2021-08-27,05:45:15,50.0
2021-08-27,05:45:30,50.009
2021-08-27,05:45:45,50.005
2021-08-27,05:46:00,49.967
2021-08-27,05:46:15,49.98
2021-08-27,05:46:30,50.018
2021-08-27,05:46:45,50.012
2021-08-27,05:47:00,50.0
2021-08-27,05:47:15,49.975
2021-08-27,05:47:30,50.003
2021-08-27,05:47:45,49.993
2021-08-27,05:48:00,50.0
2021-08-27,05:48:15,49.985
2021-08-27,05:48:30,49.959
2021-08-27,05:48:45,49.965
2021-08-27,05:49:00,49.959
