type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Offshore,2021-08-26,48.0,4209.27
Wind generation,Wind Offshore,2021-08-26,47.0,4209.27
Wind generation,Wind Offshore,2021-08-26,46.0,4740.9259999999995
Wind generation,Wind Offshore,2021-08-26,45.0,4740.9259999999995
Wind generation,Wind Offshore,2021-08-26,44.0,4979.519
Wind generation,Wind Offshore,2021-08-26,43.0,4979.519
Wind generation,Wind Offshore,2021-08-26,42.0,5168.11
Wind generation,Wind Offshore,2021-08-26,41.0,5168.11
Wind generation,Wind Offshore,2021-08-26,40.0,5249.14
Wind generation,Wind Offshore,2021-08-26,39.0,5249.14
Wind generation,Wind Offshore,2021-08-26,38.0,5253.771
Wind generation,Wind Offshore,2021-08-26,37.0,5253.771
Wind generation,Wind Offshore,2021-08-26,36.0,5167.8009999999995
Wind generation,Wind Offshore,2021-08-26,35.0,5167.8009999999995
Wind generation,Wind Offshore,2021-08-26,34.0,5018.838
Wind generation,Wind Offshore,2021-08-26,33.0,5018.838
Wind generation,Wind Offshore,2021-08-26,32.0,4886.199000000001
Wind generation,Wind Offshore,2021-08-26,31.0,4886.199000000001
Wind generation,Wind Offshore,2021-08-26,30.0,4812.649
Wind generation,Wind Offshore,2021-08-26,29.0,4812.649
Wind generation,Wind Offshore,2021-08-26,28.0,4723.834
Wind generation,Wind Offshore,2021-08-26,27.0,4723.834
Wind generation,Wind Offshore,2021-08-26,26.0,4756.455
Wind generation,Wind Offshore,2021-08-26,25.0,4756.455
Wind generation,Wind Offshore,2021-08-26,24.0,4846.398
Wind generation,Wind Offshore,2021-08-26,23.0,4846.398
Wind generation,Wind Offshore,2021-08-26,22.0,4961.338
Wind generation,Wind Offshore,2021-08-26,21.0,4961.338
Wind generation,Wind Offshore,2021-08-26,20.0,5012.69
Wind generation,Wind Offshore,2021-08-26,19.0,5012.69
Wind generation,Wind Offshore,2021-08-26,18.0,5119.388
Wind generation,Wind Offshore,2021-08-26,17.0,5119.388
Wind generation,Wind Offshore,2021-08-26,16.0,5115.7429999999995
Wind generation,Wind Offshore,2021-08-26,15.0,5115.7429999999995
Wind generation,Wind Offshore,2021-08-26,14.0,5030.97
Wind generation,Wind Offshore,2021-08-26,13.0,5030.97
Wind generation,Wind Offshore,2021-08-26,12.0,4892.348
Wind generation,Wind Offshore,2021-08-26,11.0,4892.348
Wind generation,Wind Offshore,2021-08-26,10.0,4752.593
Wind generation,Wind Offshore,2021-08-26,9.0,4752.593
Wind generation,Wind Offshore,2021-08-26,8.0,4504.667
Wind generation,Wind Offshore,2021-08-26,7.0,4504.667
Wind generation,Wind Offshore,2021-08-26,6.0,4290.471
Wind generation,Wind Offshore,2021-08-26,5.0,4290.471
Wind generation,Wind Offshore,2021-08-26,4.0,4072.055
Wind generation,Wind Offshore,2021-08-26,3.0,4072.055
Wind generation,Wind Offshore,2021-08-26,2.0,3929.1440000000002
Wind generation,Wind Offshore,2021-08-26,1.0,3929.1440000000002
