type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Onshore,2021-08-26,48.0,1366.684
Wind generation,Wind Onshore,2021-08-26,47.0,1366.684
Wind generation,Wind Onshore,2021-08-26,46.0,1475.7520000000006
Wind generation,Wind Onshore,2021-08-26,45.0,1475.7520000000006
Wind generation,Wind Onshore,2021-08-26,44.0,1464.004
Wind generation,Wind Onshore,2021-08-26,43.0,1464.004
Wind generation,Wind Onshore,2021-08-26,42.0,1457.5829999999999
Wind generation,Wind Onshore,2021-08-26,41.0,1457.5829999999999
Wind generation,Wind Onshore,2021-08-26,40.0,1604.033
Wind generation,Wind Onshore,2021-08-26,39.0,1604.033
Wind generation,Wind Onshore,2021-08-26,38.0,1752.004
Wind generation,Wind Onshore,2021-08-26,37.0,1752.004
Wind generation,Wind Onshore,2021-08-26,36.0,1784.101
Wind generation,Wind Onshore,2021-08-26,35.0,1784.101
Wind generation,Wind Onshore,2021-08-26,34.0,1765.351
Wind generation,Wind Onshore,2021-08-26,33.0,1765.351
Wind generation,Wind Onshore,2021-08-26,32.0,1768.474
Wind generation,Wind Onshore,2021-08-26,31.0,1768.474
Wind generation,Wind Onshore,2021-08-26,30.0,1744.789
Wind generation,Wind Onshore,2021-08-26,29.0,1744.789
Wind generation,Wind Onshore,2021-08-26,28.0,1706.9520000000002
Wind generation,Wind Onshore,2021-08-26,27.0,1706.9520000000002
Wind generation,Wind Onshore,2021-08-26,26.0,1739.2160000000001
Wind generation,Wind Onshore,2021-08-26,25.0,1739.2160000000001
Wind generation,Wind Onshore,2021-08-26,24.0,1725.59
Wind generation,Wind Onshore,2021-08-26,23.0,1725.59
Wind generation,Wind Onshore,2021-08-26,22.0,1696.04
Wind generation,Wind Onshore,2021-08-26,21.0,1696.04
Wind generation,Wind Onshore,2021-08-26,20.0,1544.763
Wind generation,Wind Onshore,2021-08-26,19.0,1544.763
Wind generation,Wind Onshore,2021-08-26,18.0,1423.4270000000001
Wind generation,Wind Onshore,2021-08-26,17.0,1423.4270000000001
Wind generation,Wind Onshore,2021-08-26,16.0,1285.453
Wind generation,Wind Onshore,2021-08-26,15.0,1285.453
Wind generation,Wind Onshore,2021-08-26,14.0,1258.704
Wind generation,Wind Onshore,2021-08-26,13.0,1258.704
Wind generation,Wind Onshore,2021-08-26,12.0,1273.295
Wind generation,Wind Onshore,2021-08-26,11.0,1273.295
Wind generation,Wind Onshore,2021-08-26,10.0,1280.7169999999999
Wind generation,Wind Onshore,2021-08-26,9.0,1280.7169999999999
Wind generation,Wind Onshore,2021-08-26,8.0,1252.839
Wind generation,Wind Onshore,2021-08-26,7.0,1252.839
Wind generation,Wind Onshore,2021-08-26,6.0,1243.088
Wind generation,Wind Onshore,2021-08-26,5.0,1243.088
Wind generation,Wind Onshore,2021-08-26,4.0,1241.528
Wind generation,Wind Onshore,2021-08-26,3.0,1241.528
Wind generation,Wind Onshore,2021-08-26,2.0,1168.133
Wind generation,Wind Onshore,2021-08-26,1.0,1168.133
