Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,706.4,180.55584
02-01-2019,1104.8,282.38688
03-01-2019,1078.8,275.74128
04-01-2019,964.1,246.42396
05-01-2019,602.1,153.89676
06-01-2019,654.2,167.21352
07-01-2019,1018.8,260.40528
08-01-2019,969.3,247.75308
09-01-2019,997.8,255.03768
10-01-2019,1060.9,271.16604
11-01-2019,924.6,236.32776
12-01-2019,571.2,145.99872
13-01-2019,549.6,140.47776
14-01-2019,992.6,253.70856
15-01-2019,969.5,247.8042
16-01-2019,996.9,254.80764
17-01-2019,1052.1,268.91676
18-01-2019,1031.1,263.54916
19-01-2019,645.3,164.93868
20-01-2019,701.8,179.38008
21-01-2019,1090,278.604
22-01-2019,1036.6,264.95496
23-01-2019,1094.8,279.83088
24-01-2019,1128.3,288.39348
25-01-2019,990.8,253.24848
26-01-2019,630,161.028
27-01-2019,661.1,168.97716
28-01-2019,1104.9,282.41244
29-01-2019,1071.2,273.79872
30-01-2019,1064.6,272.11176
31-01-2019,1065.5,272.3418
01-02-2019,991,253.2996
02-02-2019,591.4,151.16184
03-02-2019,689.3,176.18508
04-02-2019,1003.2,256.41792
05-02-2019,955,244.098
06-02-2019,960.3,245.45268
07-02-2019,901.9,230.52564
08-02-2019,856.4,218.89584
09-02-2019,551.5,140.9634
10-02-2019,561.9,143.62164
11-02-2019,966.1,246.93516
12-02-2019,940.2,240.31512
13-02-2019,888.9,227.20284
14-02-2019,909.1,232.36596
15-02-2019,863.1,220.60836
16-02-2019,563.8,144.10728
17-02-2019,547.3,139.88988
18-02-2019,895.7,228.94092
19-02-2019,865.7,221.27292
20-02-2019,846.9,216.46764
21-02-2019,831.1,212.42916
22-02-2019,795.1,203.22756
23-02-2019,539.4,137.87064
24-02-2019,525.8,134.39448
25-02-2019,839.3,214.52508
26-02-2019,859.9,219.79044
27-02-2019,810.9,207.26604
28-02-2019,867.3,221.68188
01-03-2019,820.3,209.66868
03-03-2019,519.3,132.73308
04-03-2019,883.6,225.84816
05-03-2019,856.8,218.99808
06-03-2019,842.1,215.24076
07-03-2019,865,221.094
08-03-2019,828,211.6368
09-03-2019,544.4,139.14864
10-03-2019,543.4,138.89304
11-03-2019,917.3,234.46188
12-03-2019,903.3,230.88348
13-03-2019,904,231.0624
14-03-2019,877.5,224.289
15-03-2019,853.3,218.10348
16-03-2019,696.5,178.0254
17-03-2019,684.6,174.98376
18-03-2019,900.9,230.27004
19-03-2019,836.1,213.70716
20-03-2019,851.5,217.6434
21-03-2019,844,215.7264
22-03-2019,853.5,218.1546
23-03-2019,531.9,135.95364
24-03-2019,525,134.19
25-03-2019,901.7,230.47452
26-03-2019,888.2,227.02392
27-03-2019,874.6,223.54776
28-03-2019,925.6,236.58336
29-03-2019,926.2,236.73672
30-03-2019,518.2,132.45192
31-03-2019,529.8,135.41688
01-04-2019,992.9,253.78524
02-04-2019,1017.9,260.17524
03-04-2019,1036.2,264.85272
04-04-2019,981.4,250.84584
05-04-2019,909.7,232.51932
06-04-2019,509,130.1004
07-04-2019,504.9,129.05244
08-04-2019,983.6,251.40816
09-04-2019,965.9,246.88404
10-04-2019,898.1,229.55436
11-04-2019,971,248.1876
12-04-2019,923.6,236.07216
13-04-2019,542.4,138.63744
14-04-2019,534.6,136.64376
15-04-2019,999.2,255.39552
