Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,2969.6,759.030
02-01-2019,9562.4,2444.149
03-01-2019,3691.4,943.522
04-01-2019,3677.6,939.995
05-01-2019,3253.2,831.518
06-01-2019,2210.4,564.978
07-01-2019,3426.8,875.890
08-01-2019,3874.8,990.399
09-01-2019,4297.8,1098.518
10-01-2019,4622,1181.383
11-01-2019,4432,1132.819
12-01-2019,3597,919.393
13-01-2019,1845.2,471.633
14-01-2019,4349.8,1111.809
15-01-2019,4449.6,1137.318
16-01-2019,4476.2,1144.117
17-01-2019,4411.8,1127.656
18-01-2019,4592.6,1173.869
19-01-2019,3392.6,867.149
20-01-2019,2986.6,763.375
21-01-2019,4841.4,1237.462
22-01-2019,4581.6,1171.057
23-01-2019,4758,1216.145
24-01-2019,4572.2,1168.654
25-01-2019,4196.8,1072.702
26-01-2019,3449.6,881.718
27-01-2019,3693.6,944.084
28-01-2019,4622,1181.383
29-01-2019,4733.8,1209.959
30-01-2019,4670.8,1193.856
31-01-2019,4960.4,1267.878
01-02-2019,4987.8,1274.882
02-02-2019,4161.2,1063.603
03-02-2019,4080.6,1043.001
04-02-2019,4950.6,1265.373
05-02-2019,4960.4,1267.878
06-02-2019,5166,1320.430
07-02-2019,5724.6,1463.208
08-02-2019,5731.4,1464.946
09-02-2019,5190,1326.564
10-02-2019,5029.4,1285.515
11-02-2019,5583.8,1427.219
12-02-2019,5541.6,1416.433
13-02-2019,5684.6,1452.984
14-02-2019,5208.4,1331.267
15-02-2019,4432.4,1132.921
16-02-2019,3945.8,1008.546
17-02-2019,3863.4,987.485
18-02-2019,5203.6,1330.040
19-02-2019,5269,1346.756
20-02-2019,4826,1233.526
21-02-2019,4741,1211.800
22-02-2019,4481.8,1145.548
23-02-2019,3525.6,901.143
24-02-2019,3516.2,898.741
25-02-2019,4707,1203.109
26-02-2019,4807.2,1228.720
27-02-2019,4962,1268.287
28-02-2019,4953.8,1266.191
01-03-2019,4726,1207.966
03-03-2019,3626.2,926.857
04-03-2019,5082.6,1299.113
05-03-2019,5313.8,1358.207
06-03-2019,5370.2,1372.623
07-03-2019,5310.8,1357.440
08-03-2019,5128.4,1310.819
09-03-2019,4396.2,1123.669
10-03-2019,4075.8,1041.774
11-03-2019,4755.8,1215.582
12-03-2019,4793,1225.091
13-03-2019,4769.8,1219.161
14-03-2019,4112.2,1051.078
15-03-2019,3948.2,1009.160
16-03-2019,3200.2,817.971
17-03-2019,3192.4,815.977
18-03-2019,3935.4,1005.888
19-03-2019,3746.8,957.682
20-03-2019,3616,924.250
21-03-2019,3298.6,843.122
22-03-2019,3108.4,794.507
23-03-2019,2325.8,594.474
24-03-2019,2302.8,588.596
25-03-2019,3195.4,816.744
26-03-2019,3153.4,806.009
27-03-2019,3298,842.969
28-03-2019,3079.6,787.146
29-03-2019,2966.8,758.314
30-03-2019,2282.4,583.381
31-03-2019,2326,594.526
01-04-2019,3138.4,802.175
02-04-2019,3240.8,828.348
03-04-2019,3300.2,843.531
04-04-2019,4099.4,1047.807
05-04-2019,4094.8,1046.631
06-04-2019,3806,972.814
07-04-2019,3699.6,945.618
08-04-2019,4037.2,1031.908
09-04-2019,3701.4,946.078
10-04-2019,3747.6,957.887
11-04-2019,3832.6,979.613
12-04-2019,3660.6,935.649
13-04-2019,2982.6,762.353
14-04-2019,2966,758.110
15-04-2019,3488.6,891.686
16-04-2019,3475.8,888.414
17-04-2019,3578.8,914.741
18-04-2019,3370.4,861.474
19-04-2019,2919.6,746.250
20-04-2019,2901.8,741.700
21-04-2019,2889.8,738.633
22-04-2019,3013.8,770.327
23-04-2019,3345.8,855.186
24-04-2019,3312.6,846.701
25-04-2019,3411.8,872.056
26-04-2019,3345.2,855.033
27-04-2019,2927,748.141
28-04-2019,2816.6,719.923
29-04-2019,3638.2,929.924
30-04-2019,3952.8,1010.336
01-05-2019,3925.4,1003.332
02-05-2019,4229,1080.932
03-05-2019,4031,1030.324
04-05-2019,3228,825.077
05-05-2019,2305.8,589.362
06-05-2019,3454.8,883.047
07-05-2019,3771,963.868
08-05-2019,4161.4,1063.654
09-05-2019,3096,791.338
