Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,1616.4,413.15184
02-01-2019,1856.4,474.49584
03-01-2019,1839.2,470.09952
04-01-2019,1861.6,475.82496
05-01-2019,1214,310.2984
06-01-2019,1188.2,303.70392
07-01-2019,2107.4,538.65144
08-01-2019,2167.6,554.03856
09-01-2019,2319.2,592.78752
10-01-2019,2241.8,573.00408
11-01-2019,2121.6,542.28096
12-01-2019,1236,315.9216
13-01-2019,1184.4,302.73264
14-01-2019,2156.2,551.12472
15-01-2019,2069.8,529.04088
16-01-2019,2170.8,554.85648
17-01-2019,2202.2,562.88232
18-01-2019,2104.8,537.98688
19-01-2019,1493.4,381.71304
20-01-2019,1447.4,369.95544
21-01-2019,2305,589.158
22-01-2019,2351.8,601.12008
23-01-2019,2260.4,577.75824
24-01-2019,2266.6,579.34296
25-01-2019,2204.4,563.44464
26-01-2019,1514.8,387.18288
27-01-2019,1538.6,393.26616
28-01-2019,2326.4,594.62784
29-01-2019,2232.4,570.60144
30-01-2019,2200,562.32
31-01-2019,2358,602.7048
01-02-2019,2159.6,551.99376
02-02-2019,1298.6,331.92216
03-02-2019,1245.4,318.32424
04-02-2019,2318.2,592.53192
05-02-2019,2396.8,612.62208
06-02-2019,2288.6,584.96616
07-02-2019,2378.6,607.97016
08-02-2019,2112,539.8272
09-02-2019,1257.4,321.39144
10-02-2019,1202.8,307.43568
11-02-2019,2269.6,580.10976
12-02-2019,2302.6,588.54456
13-02-2019,2294.2,586.39752
14-02-2019,2416.6,617.68296
15-02-2019,2158.8,551.78928
16-02-2019,1266.6,323.74296
17-02-2019,1215.4,310.65624
18-02-2019,2353.6,601.58016
19-02-2019,2349,600.4044
20-02-2019,2287,584.5572
21-02-2019,2403.2,614.25792
22-02-2019,2160,552.096
23-02-2019,1276.6,326.29896
24-02-2019,1231.2,314.69472
25-02-2019,2285.4,584.14824
26-02-2019,2400.6,613.59336
27-02-2019,2292.6,585.98856
28-02-2019,2478,633.3768
01-03-2019,2232.6,570.65256
03-03-2019,1253.2,320.31792
04-03-2019,2246.2,574.12872
05-03-2019,2285,584.046
