Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,639.9,163.55844
02-01-2019,1435.8,366.99048
03-01-2019,1571.8,401.75208
04-01-2019,1501.9,383.88564
05-01-2019,1065.6,272.36736
06-01-2019,1236.8,316.12608
07-01-2019,1825.5,466.5978
08-01-2019,1835.6,469.17936
09-01-2019,1906.2,487.22472
10-01-2019,1951.3,498.75228
11-01-2019,1717.8,439.06968
12-01-2019,1046.4,267.45984
13-01-2019,899.9,230.01444
14-01-2019,1708.3,436.64148
15-01-2019,1821,465.4476
16-01-2019,1778,454.4568
17-01-2019,1810.7,462.81492
18-01-2019,1789.5,457.3962
19-01-2019,1178.4,301.19904
20-01-2019,1095.2,279.93312
21-01-2019,1879.6,480.42576
22-01-2019,1880.1,480.55356
23-01-2019,1928.8,493.00128
24-01-2019,2006.3,512.81028
25-01-2019,1777.6,454.35456
26-01-2019,1094.2,279.67752
27-01-2019,939.8,240.21288
28-01-2019,2063.3,527.37948
29-01-2019,2075.2,530.42112
30-01-2019,1939.9,495.83844
31-01-2019,2015.8,515.23848
01-02-2019,1921.4,491.10984
02-02-2019,1146.9,293.14764
03-02-2019,1085,277.326
04-02-2019,2026.2,517.89672
05-02-2019,1955.3,499.77468
06-02-2019,1862.8,476.13168
07-02-2019,1875.2,479.30112
08-02-2019,1833.8,468.71928
09-02-2019,1077.9,275.51124
10-02-2019,1001.2,255.90672
11-02-2019,1836,469.2816
12-02-2019,1840.5,470.4318
13-02-2019,1897.5,485.001
14-02-2019,1918.9,490.47084
15-02-2019,1726.5,441.2934
16-02-2019,1318.3,336.95748
17-02-2019,950.4,242.92224
18-02-2019,1842.3,470.89188
19-02-2019,1924.7,491.95332
20-02-2019,1805.4,461.46024
21-02-2019,1785.1,456.27156
22-02-2019,1636.6,418.31496
23-02-2019,1064.6,272.11176
24-02-2019,1006.5,257.2614
25-02-2019,1774.5,453.5622
26-02-2019,1846.7,472.01652
27-02-2019,1812.6,463.30056
28-02-2019,1843.7,471.24972
01-03-2019,1810.7,462.81492
03-03-2019,933.5,238.6026
04-03-2019,1771.8,452.87208
05-03-2019,1835.9,469.25604
06-03-2019,1793,458.2908
07-03-2019,1843.3,471.14748
08-03-2019,1728.6,441.83016
09-03-2019,1120.3,286.34868
10-03-2019,946.4,241.89984
11-03-2019,1917.5,490.113
12-03-2019,2062.3,527.12388
13-03-2019,1892,483.5952
