Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,1963.8,501.94728
02-01-2019,2063.7,527.48172
03-01-2019,2145.7,548.44092
04-01-2019,2216.1,566.43516
05-01-2019,2172.4,555.26544
06-01-2019,2249.4,574.94664
07-01-2019,2428.5,620.7246
08-01-2019,2406.6,615.12696
09-01-2019,2477.2,633.17232
10-01-2019,2492.7,637.13412
11-01-2019,2483.1,634.68036
12-01-2019,2417.8,617.98968
13-01-2019,2529.8,646.61688
14-01-2019,2558.3,653.90148
15-01-2019,2642.7,675.47412
16-01-2019,2669.1,682.22196
17-01-2019,2637.2,674.06832
18-01-2019,2643.9,675.78084
19-01-2019,2581.8,659.90808
20-01-2019,2607.7,666.52812
21-01-2019,2748.7,702.56772
22-01-2019,2742.5,700.983
23-01-2019,2724.7,696.43332
24-01-2019,2675,683.73
25-01-2019,2595.4,663.38424
26-01-2019,2544.4,650.34864
27-01-2019,2763.7,706.40172
28-01-2019,2865.9,732.52404
29-01-2019,2845.7,727.36092
30-01-2019,2875.7,735.02892
31-01-2019,2902.6,741.90456
01-02-2019,2935.8,750.39048
02-02-2019,2765.4,706.83624
03-02-2019,2839.5,725.7762
04-02-2019,2955.6,755.45136
05-02-2019,2860.2,731.06712
06-02-2019,2807.3,717.54588
07-02-2019,2744.8,701.57088
08-02-2019,2666.4,681.53184
09-02-2019,2571.6,657.30096
10-02-2019,2670.9,682.68204
11-02-2019,2772.1,708.54876
12-02-2019,2894.7,739.88532
13-02-2019,2797.1,714.93876
14-02-2019,2685.7,686.46492
15-02-2019,2547.1,651.03876
16-02-2019,2536.6,648.35496
17-02-2019,2569.1,656.66196
18-02-2019,2733.3,698.63148
19-02-2019,2691.8,688.02408
20-02-2019,2631.1,672.50916
21-02-2019,2627.4,671.56344
22-02-2019,2524.7,645.31332
23-02-2019,2470.8,631.53648
24-02-2019,2487.2,635.72832
25-02-2019,2440.9,623.89404
26-02-2019,2307.5,589.797
27-02-2019,2285.7,584.22492
28-02-2019,2361.3,603.54828
01-03-2019,2288.1,584.83836
03-03-2019,2385.7,609.78492
04-03-2019,2536.5,648.3294
05-03-2019,2573.1,657.68436
06-03-2019,2470.3,631.40868
07-03-2019,2358.1,602.73036
08-03-2019,2406.9,615.20364
09-03-2019,2286.2,584.35272
10-03-2019,2422.5,619.191
11-03-2019,2490.5,636.5718
12-03-2019,2658.5,679.5126
13-03-2019,2587.9,661.46724
14-03-2019,2360.7,603.39492
15-03-2019,2370.2,605.82312
16-03-2019,2422.6,619.21656
17-03-2019,2456.6,627.90696
18-03-2019,2512.8,642.27168
19-03-2019,2532,647.1792
20-03-2019,2478.4,633.47904
21-03-2019,2411.4,616.35384
22-03-2019,2475.1,632.63556
23-03-2019,2344.8,599.33088
24-03-2019,2309.6,590.33376
25-03-2019,2490.8,636.64848
26-03-2019,2545.1,650.52756
27-03-2019,2440.1,623.68956
28-03-2019,2312.5,591.075
29-03-2019,2236.5,571.6494
30-03-2019,2093.1,534.99636
31-03-2019,2173.7,555.59772
01-04-2019,2484.4,635.01264
02-04-2019,2519.7,644.03532
03-04-2019,2444.9,624.91644
04-04-2019,2458.4,628.36704
