Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,697.6,178.30656
02-01-2019,1550.5,396.3078
03-01-2019,1713.2,437.89392
04-01-2019,1711.2,437.38272
05-01-2019,1571.2,401.59872
06-01-2019,1583.9,404.84484
07-01-2019,1987.2,507.92832
08-01-2019,1938.7,495.53172
09-01-2019,1953.3,499.26348
10-01-2019,1999.5,511.0722
11-01-2019,2050.1,524.00556
12-01-2019,1875.7,479.42892
13-01-2019,1874.3,479.07108
14-01-2019,2149,549.2844
15-01-2019,2122,542.3832
16-01-2019,2118.3,541.43748
17-01-2019,2015,515.034
18-01-2019,2029.1,518.63796
19-01-2019,1540.6,393.77736
20-01-2019,1596.3,408.01428
21-01-2019,2053.3,524.82348
22-01-2019,2043.2,522.24192
23-01-2019,1968.3,503.09748
24-01-2019,1929.1,493.07796
25-01-2019,1825.6,466.62336
26-01-2019,1319.7,337.31532
27-01-2019,1303.2,333.09792
28-01-2019,1789.4,457.37064
29-01-2019,1837.3,469.61388
30-01-2019,1805.6,461.51136
31-01-2019,1823,465.9588
01-02-2019,1756.5,448.9614
02-02-2019,1298.8,331.97328
03-02-2019,1283.6,328.08816
04-02-2019,1853.8,473.83128
05-02-2019,1900.6,485.79336
06-02-2019,1908,487.6848
07-02-2019,1869.8,477.92088
08-02-2019,1848.4,472.45104
09-02-2019,1367.6,349.55856
10-02-2019,1305.3,333.63468
11-02-2019,1809.3,462.45708
12-02-2019,1812.2,463.19832
13-02-2019,1826.1,466.75116
14-02-2019,1813.4,463.50504
15-02-2019,1833.8,468.71928
16-02-2019,1439.2,367.85952
17-02-2019,1371,350.4276
18-02-2019,1873.1,478.76436
19-02-2019,1825.9,466.70004
20-02-2019,1812.2,463.19832
21-02-2019,1898.9,485.35884
22-02-2019,1841.5,470.6874
23-02-2019,1451.5,371.0034
24-02-2019,1424.9,364.20444
25-02-2019,1929.8,493.25688
26-02-2019,1915.6,489.62736
27-02-2019,1902.1,486.17676
28-02-2019,1882.3,481.11588
01-03-2019,1805.6,461.51136
03-03-2019,1408.5,360.0126
04-03-2019,1898.3,485.20548
05-03-2019,1925.1,492.05556
06-03-2019,1939,495.6084
07-03-2019,1890.7,483.26292
08-03-2019,1773.2,453.22992
09-03-2019,1429.7,365.43132
10-03-2019,1348.2,344.59992
11-03-2019,1847.2,472.14432
12-03-2019,1923.7,491.69772
13-03-2019,1875.3,479.32668
14-03-2019,1894.8,484.31088
15-03-2019,1834.5,468.8982
16-03-2019,1434.1,366.55596
17-03-2019,1397,357.0732
18-03-2019,1812,463.1472
19-03-2019,1858.9,475.13484
20-03-2019,1877.7,479.94012
21-03-2019,1824.3,466.29108
22-03-2019,1758.8,449.54928
23-03-2019,1387.6,354.67056
24-03-2019,1334.3,341.04708
25-03-2019,1919.4,490.59864
26-03-2019,1886.9,482.29164
27-03-2019,1790.5,457.6518
28-03-2019,1800.4,460.18224
29-03-2019,1689.9,431.93844
30-03-2019,1358.3,347.18148
31-03-2019,1374.5,351.3222
01-04-2019,1864.9,476.66844
02-04-2019,1862.8,476.13168
03-04-2019,1776.7,454.12452
04-04-2019,1856.6,474.54696
05-04-2019,1813.4,463.50504
06-04-2019,1428.8,365.20128
07-04-2019,1379.9,352.70244
08-04-2019,1778.2,454.50792
09-04-2019,1846.4,471.93984
10-04-2019,1837.7,469.71612
11-04-2019,1795.3,458.87868
12-04-2019,1725.6,441.06336
13-04-2019,1308.5,334.4526
14-04-2019,1306.6,333.96696
15-04-2019,1674.3,427.95108
16-04-2019,1628.2,416.16792
17-04-2019,1609.5,411.3882
18-04-2019,1562.9,399.47724
19-04-2019,1310.4,334.93824
20-04-2019,1207.8,308.71368
21-04-2019,1120.7,286.45092
22-04-2019,1274.1,325.65996
23-04-2019,1546.3,395.23428
24-04-2019,1539.8,393.57288
25-04-2019,1568.6,400.93416
26-04-2019,1569.2,401.08752
27-04-2019,1353.1,345.85236
28-04-2019,1312.5,335.475
29-04-2019,1814.4,463.76064
30-04-2019,1892.7,483.77412
01-05-2019,1855.2,474.18912
02-05-2019,1893.2,483.90192
03-05-2019,1868,477.4608
04-05-2019,1522.9,389.25324
05-05-2019,1468.4,375.32304
06-05-2019,1352.6,345.72456
07-05-2019,1776.8,454.15008
08-05-2019,1878.4,480.11904
09-05-2019,1961.5,501.3594
10-05-2019,1930.3,493.38468
11-05-2019,1611.2,411.82272
12-05-2019,1606.9,410.72364
13-05-2019,1945.9,497.37204
14-05-2019,1954.4,499.54464
15-05-2019,1938.8,495.55728
16-05-2019,1997.9,510.66324
17-05-2019,1950.4,498.52224
18-05-2019,1657.5,423.657
19-05-2019,1651.9,422.22564
20-05-2019,1988.3,508.20948
21-05-2019,1966.1,502.53516
22-05-2019,1891.7,483.51852
23-05-2019,1881.6,480.93696
24-05-2019,1779.9,454.94244
25-05-2019,1492.7,381.53412
26-05-2019,1388.6,354.92616
27-05-2019,1369,349.9164
28-05-2019,1694,432.9864
29-05-2019,1811.6,463.04496
30-05-2019,1780.1,454.99356
31-05-2019,1756.6,448.98696
01-06-2019,1549.3,396.00108
02-06-2019,1561.5,399.1194
03-06-2019,1821.1,465.47316
04-06-2019,1818.9,464.91084
05-06-2019,1813.8,463.60728
06-06-2019,1776.4,454.04784
07-06-2019,1686.5,431.0694
08-06-2019,1182.1,302.14476
09-06-2019,1145.9,292.89204
10-06-2019,1538.1,393.13836
11-06-2019,1492.9,381.58524
12-06-2019,1479.4,378.13464
13-06-2019,1518,388.0008
14-06-2019,1480.4,378.39024
15-06-2019,1140.9,291.61404
16-06-2019,1077.1,275.30676
17-06-2019,1474.9,376.98444
18-06-2019,1478.1,377.80236
19-06-2019,1511.5,386.3394
20-06-2019,1489,380.5884
21-06-2019,1423.3,363.79548
22-06-2019,1116.4,285.35184
23-06-2019,1075.1,274.79556
24-06-2019,1446.5,369.7254
25-06-2019,1408.5,360.0126
26-06-2019,1442,368.5752
27-06-2019,1385.5,354.1338
28-06-2019,1410,360.396
29-06-2019,1076.9,275.25564
30-06-2019,1105.3,282.51468
01-07-2019,1420.9,363.18204
02-07-2019,1440,368.064
03-07-2019,1469.3,375.55308
04-07-2019,1697.1,433.77876
05-07-2019,2010.9,513.98604
06-07-2019,1720.2,439.68312
07-07-2019,1708.3,436.64148
08-07-2019,2013.7,514.70172
09-07-2019,2020.3,516.38868
10-07-2019,2012.9,514.49724
11-07-2019,2001.5,511.5834
12-07-2019,1979.2,505.88352
13-07-2019,1720.8,439.83648
14-07-2019,1666.8,426.03408
15-07-2019,2004.5,512.3502
16-07-2019,2000.6,511.35336
17-07-2019,2020.3,516.38868
18-07-2019,1978.6,505.73016
19-07-2019,1938.2,495.40392
20-07-2019,1599.8,408.90888
21-07-2019,1559.1,398.50596
22-07-2019,1946.9,497.62764
23-07-2019,1777.9,454.43124
24-07-2019,1645.5,420.5898
25-07-2019,1614.8,412.74288
26-07-2019,1588.8,406.09728
27-07-2019,1380.4,352.83024
28-07-2019,1345.3,343.85868
29-07-2019,1635.3,417.98268
30-07-2019,1618.4,413.66304
31-07-2019,1630.7,416.80692
01-08-2019,1535.8,392.55048
02-08-2019,1519.6,388.40976
03-08-2019,1524.8,389.73888
04-08-2019,1613.1,412.30836
05-08-2019,1862.4,476.02944
06-08-2019,1848,472.3488
07-08-2019,1843.3,471.14748
08-08-2019,1843.7,471.24972
09-08-2019,1872.3,478.55988
10-08-2019,1697.7,433.93212
11-08-2019,1619.5,413.9442
12-08-2019,1867,477.2052
13-08-2019,1874,478.9944
14-08-2019,1843.1,471.09636
