Date (UTC),Energy Consumption,Carbon Emission
01-01-2019,1089,278.3484
02-01-2019,2500.4,639.10224
03-01-2019,2522.4,644.72544
04-01-2019,2416.6,617.68296
05-01-2019,1154.9,295.19244
06-01-2019,1097.9,280.62324
07-01-2019,2473.6,632.25216
08-01-2019,2342.1,598.64076
09-01-2019,2380.8,608.53248
10-01-2019,2426.5,620.2134
11-01-2019,2238.7,572.21172
12-01-2019,1056.8,270.11808
13-01-2019,1006.9,257.36364
14-01-2019,2381.9,608.81364
15-01-2019,2510.4,641.65824
16-01-2019,2665.9,681.40404
17-01-2019,2667.5,681.813
18-01-2019,2568.8,656.58528
19-01-2019,1464.2,374.24952
20-01-2019,1443.7,369.00972
21-01-2019,2739.9,700.31844
22-01-2019,2561.2,654.64272
23-01-2019,2553.3,652.62348
24-01-2019,2606.9,666.32364
25-01-2019,2383.4,609.19704
26-01-2019,1176.6,300.73896
27-01-2019,1095,279.882
28-01-2019,2467.5,630.693
29-01-2019,2487.9,635.90724
30-01-2019,2511.5,641.9394
31-01-2019,2454.1,627.26796
01-02-2019,2323.1,593.78436
02-02-2019,1223.9,312.82884
03-02-2019,1192.8,304.87968
04-02-2019,2462,629.2872
05-02-2019,2363.4,604.08504
06-02-2019,2367.7,605.18412
07-02-2019,2407.5,615.357
08-02-2019,2193.6,560.68416
09-02-2019,1156.2,295.52472
10-02-2019,1073.3,274.33548
11-02-2019,2352.1,601.19676
12-02-2019,2446.8,625.40208
13-02-2019,2452.9,626.96124
14-02-2019,2390,610.884
15-02-2019,2230.8,570.19248
16-02-2019,1156,295.4736
17-02-2019,1112.2,284.27832
18-02-2019,2384.4,609.45264
19-02-2019,2365.7,604.67292
20-02-2019,2533.9,647.66484
21-02-2019,2511.6,641.96496
22-02-2019,2145.9,548.49204
23-02-2019,932.7,238.39812
24-02-2019,949.1,242.58996
25-02-2019,2406.4,615.07584
26-02-2019,2384.6,609.50376
27-02-2019,2444.1,624.71196
28-02-2019,2446.2,625.24872
01-03-2019,2329.9,595.52244
03-03-2019,1074.5,274.6422
04-03-2019,2494.6,637.61976
05-03-2019,2480.5,634.0158
06-03-2019,2493.9,637.44084
07-03-2019,2523.9,645.10884
08-03-2019,2336,597.0816
09-03-2019,1125.1,287.57556
10-03-2019,1084,277.0704
11-03-2019,2449.8,626.16888
12-03-2019,2615,668.394
13-03-2019,2673.3,683.29548
14-03-2019,2531.1,646.94916
15-03-2019,2315.1,591.73956
16-03-2019,1073.7,274.43772
17-03-2019,1029.7,263.19132
18-03-2019,2484.1,634.93596
19-03-2019,2598.2,664.09992
20-03-2019,2529.9,646.64244
21-03-2019,2378.1,607.84236
22-03-2019,2234.3,571.08708
23-03-2019,1107.8,283.15368
24-03-2019,1025,261.99
25-03-2019,2520.4,644.21424
26-03-2019,2509.6,641.45376
27-03-2019,2508.1,641.07036
28-03-2019,2422.2,619.11432
29-03-2019,2271.8,580.67208
30-03-2019,1167.2,298.33632
31-03-2019,1231,314.6436
01-04-2019,2511.1,641.83716
02-04-2019,2613.8,668.08728
03-04-2019,2638.3,674.34948
04-04-2019,2574.7,658.09332
05-04-2019,2372.8,606.48768
06-04-2019,1170.8,299.25648
07-04-2019,1154.2,295.01352
08-04-2019,2490.5,636.5718
09-04-2019,2607.8,666.55368
10-04-2019,2707.5,692.037
11-04-2019,2667.9,681.91524
12-04-2019,2469.8,631.28088
13-04-2019,1248,318.9888
14-04-2019,1259.3,321.87708
15-04-2019,2423.7,619.49772
16-04-2019,2437.2,622.94832
